steer_dir, step_count, heading, gyro_x, gyro_y, accel_x, accel_y
0,401,0.12,-0.25,-0.56,0.2,-0.15
0,403,0.12,-0.5,0.25,0.4,-0.91
0,406,0.12,-0.5,0.25,0.4,-0.91
0,409,0.12,-0.69,0.44,-0.19,-1.04
0,411,0.12,-0.25,-0.81,-0.13,-0.78
0,413,0.12,-0.25,-0.81,-0.13,-0.78
0,417,0.12,-0.12,-1.12,-0.46,-0.42
0,418,0.12,0.0,-0.44,-0.22,-0.26
0,421,0.12,0.0,-0.44,-0.22,-0.26
0,424,0.12,-0.25,0.25,-0.4,0.11
0,426,0.19,0.44,-0.06,-0.47,0.25
0,429,0.19,0.44,-0.06,-0.47,0.25
0,431,0.19,0.5,-0.88,-0.56,0.43
0,433,0.19,1.12,-1.12,0.13,0.25
0,436,0.19,1.12,-1.12,0.13,0.25
0,438,0.19,1.06,-0.44,0.27,-0.29
0,441,0.19,1.06,-0.44,0.18,-0.56
0,444,0.19,1.12,-0.12,0.18,-0.56
0,446,0.19,0.63,-0.19,0.0,-0.32
0,449,0.19,0.63,-0.19,0.29,-0.41
0,452,0.19,-0.5,-0.5,0.29,-0.41
0,454,0.19,-1.63,0.06,-0.13,-0.18
0,457,0.19,-1.63,0.06,-0.25,-0.06
0,459,0.19,-1.75,1.31,-0.25,-0.06
0,461,0.19,-1.75,1.31,-0.95,0.01
0,463,0.19,-1.56,1.69,-0.95,0.01
0,465,0.19,-0.56,0.63,-0.67,0.31
0,467,0.19,-0.56,0.63,-0.67,0.31
0,470,0.19,-0.06,0.31,-0.13,0.16
0,472,0.19,0.5,1.0,0.44,-0.13
0,475,0.19,0.5,1.0,0.44,-0.13
0,477,0.19,0.44,1.63,-0.07,-0.67
0,479,0.19,0.44,1.63,-0.07,-0.67
0,481,0.19,1.0,1.44,0.08,-0.69
0,483,0.19,1.0,1.44,0.08,-0.69
0,487,0.19,1.12,0.06,-0.13,-0.72
0,489,0.19,0.81,-0.12,0.01,-0.44
0,491,0.19,0.81,-0.12,0.01,-0.44
0,494,0.19,-0.37,0.37,-0.33,-0.18
0,496,0.19,-0.88,0.5,-0.6,0.26
0,499,0.19,-0.88,0.5,-0.6,0.26
0,502,0.19,-1.0,-0.44,-0.68,0.28
0,504,0.19,-1.37,-1.0,-0.22,0.55
0,507,0.19,-1.37,-1.0,-0.22,0.55
0,510,0.19,-1.37,-0.56,-0.27,0.03
0,512,0.19,-0.56,0.06,-0.45,0.16
0,514,0.19,-0.56,0.06,-0.51,-0.31
0,516,0.19,1.12,-0.69,-0.51,-0.31
0,518,0.19,1.12,-0.69,-0.2,0.25
0,520,0.19,1.37,-1.12,-0.2,0.25
0,522,0.19,1.37,-1.12,0.1,-0.14
0,525,0.19,1.06,-0.81,0.1,-0.14
0,528,0.19,0.31,0.12,0.19,-0.75
0,530,0.19,0.31,0.12,0.25,-0.44
0,533,0.19,0.88,0.19,0.25,-0.44
0,535,0.25,0.75,-0.19,0.11,-0.3
0,538,0.25,0.75,-0.19,0.02,-0.46
0,541,0.25,0.25,-0.31,0.02,-0.46
0,543,0.25,-1.12,0.69,-0.62,-0.05
0,546,0.25,-1.12,0.69,-0.46,0.05
0,549,0.25,-1.0,1.06,-0.46,0.05
0,551,0.25,-1.19,0.75,-0.51,0.67
0,554,0.25,-1.19,0.75,-0.14,0.28
0,556,0.25,-0.94,0.0,-0.14,0.28
0,558,0.25,-1.12,0.44,-0.24,0.04
0,561,0.19,-1.12,0.44,-0.24,0.04
0,563,0.19,-1.06,0.5,-0.05,-0.15
0,565,0.19,-1.0,0.12,-0.25,-0.44
0,568,0.19,-1.0,0.12,-0.25,-0.44
0,571,0.19,-0.5,-0.69,0.16,-0.82
0,573,0.19,-0.37,-0.56,-0.12,-0.57
0,576,0.19,-0.37,-0.56,-0.12,-0.57
0,578,0.19,-0.56,-0.25,-0.09,-0.42
0,580,0.19,-0.56,-0.25,-0.09,-0.42
0,583,0.19,-1.0,-0.31,-0.58,-0.54
0,586,0.19,-0.75,-0.88,-0.38,0.1
0,588,0.19,-0.75,-0.88,-0.38,0.1
0,591,0.19,-0.75,-1.12,-0.51,0.25
0,593,0.19,-0.63,-0.88,-0.12,0.02
0,596,0.19,-0.63,-0.88,-0.12,0.02
0,599,0.19,-0.75,-0.63,-0.23,-0.25
0,601,0.19,-0.25,-0.69,0.22,-0.87
0,604,0.19,-0.25,-0.69,0.22,-0.87
0,607,0.19,0.44,-0.81,0.03,-0.87
0,609,0.19,1.0,-0.44,0.12,-0.76
0,611,0.25,1.0,-0.44,0.12,-0.76
0,613,0.25,0.69,0.12,0.11,-0.79
0,615,0.25,0.69,0.12,0.11,-0.79
0,617,0.25,0.0,0.69,-0.17,-0.31
0,619,0.31,0.0,0.69,-0.34,0.3
0,622,0.31,0.5,0.31,-0.34,0.3
0,625,0.31,1.25,0.44,-0.53,0.92
0,627,0.37,1.25,0.44,-0.64,1.11
0,631,0.37,0.81,0.81,-0.64,1.11
0,633,0.31,-1.37,1.31,-0.54,0.54
0,635,0.31,-1.37,1.31,-0.54,0.54
0,637,0.31,-2.38,0.69,0.0,-0.41
0,639,0.31,-2.38,0.69,0.0,-0.41
0,642,0.31,-1.37,0.19,0.52,-0.56
0,643,0.31,-0.5,0.12,0.27,-0.5
0,646,0.31,-0.5,0.12,0.27,-0.5
0,649,0.31,-0.81,0.88,0.26,-1.14
0,651,0.31,-1.12,1.0,-0.4,-1.19
0,653,0.31,-1.12,1.0,-0.4,-1.19
0,656,0.31,-0.75,0.19,-0.37,-1.12
0,658,0.31,-0.75,0.19,-0.37,-1.12
0,661,0.31,0.44,-0.81,-0.2,-0.23
0,664,0.31,0.31,-0.37,-0.17,-0.08
0,666,0.31,0.31,-0.37,-0.41,-0.09
0,669,0.31,-0.5,0.12,-0.41,-0.09
0,671,0.31,-1.0,0.19,-0.65,0.08
0,674,0.31,-1.0,0.19,-0.65,0.08
0,677,0.31,-0.63,-0.94,-0.42,0.03
0,679,0.31,-0.44,-1.19,-0.25,0.11
0,682,0.31,-0.44,-1.19,0.03,0.0
0,685,0.31,-0.5,-0.31,0.03,0.0
0,687,0.31,-0.44,-0.12,-0.28,-0.15
0,690,0.31,-0.44,-0.12,-0.05,-0.55
0,691,0.31,0.19,-0.63,-0.05,-0.55
0,693,0.31,0.31,-0.75,0.16,-0.48
0,696,0.31,0.31,-0.75,0.16,-0.48
0,699,0.31,0.75,-0.5,0.24,-0.78
0,701,0.31,0.75,-0.5,0.36,-0.82
0,704,0.31,0.88,0.5,0.36,-0.82
0,707,0.37,1.44,0.81,0.23,-0.41
0,709,0.37,1.44,0.81,-0.05,-0.16
0,711,0.37,1.69,0.69,-0.05,-0.16
0,712,0.37,0.81,0.12,0.13,0.12
0,714,0.37,0.81,0.12,0.13,0.12
0,717,0.37,-1.31,0.81,-0.47,-0.01
0,719,0.37,-1.31,0.81,-0.47,-0.01
0,722,0.37,-2.63,1.44,-0.59,-0.41
0,724,0.37,-2.63,1.44,-0.55,-0.85
0,727,0.37,-1.63,0.94,-0.55,-0.85
0,729,0.37,-0.31,0.69,-0.15,-0.22
0,732,0.37,-0.31,0.69,-0.18,-0.52
0,735,0.37,-0.75,0.12,-0.18,-0.52
0,737,0.37,-1.37,0.75,-0.69,-0.08
0,739,0.37,-1.37,0.75,-0.75,-0.18
0,742,0.37,-0.88,0.81,-0.75,-0.18
0,745,0.37,0.56,-0.06,-0.58,0.26
0,747,0.31,0.56,-0.06,-0.02,0.35
0,750,0.31,0.56,-0.81,-0.02,0.35
0,752,0.31,-0.88,-0.31,-0.07,-0.27
0,754,0.31,-0.88,-0.31,-0.07,-0.27
0,757,0.31,-1.69,-0.37,-0.18,-0.44
0,759,0.31,-1.12,-0.63,-0.12,-0.6
0,762,0.31,-1.12,-0.63,-0.12,-0.6
0,765,0.31,-0.37,-1.0,0.04,-0.84
0,767,0.31,-0.37,-0.69,-0.08,-0.66
0,769,0.31,-0.37,-0.69,-0.08,-0.66
0,771,0.31,-0.44,-0.31,0.04,-0.98
0,774,0.31,-0.44,-0.31,0.04,-0.98
0,777,0.31,0.19,-0.37,-0.11,-0.75
0,779,0.31,0.69,-0.69,-0.22,-0.38
0,781,0.31,0.69,-0.69,-0.22,-0.38
0,785,0.31,0.75,-0.31,-0.37,-0.14
0,787,0.37,0.56,-0.12,-0.39,-0.23
0,788,0.37,0.56,-0.12,-0.39,-0.23
0,790,0.37,0.69,0.25,-0.35,0.17
0,792,0.37,0.69,0.25,-0.35,0.17
0,794,0.37,1.06,0.31,-0.02,0.2
0,797,0.44,1.06,0.31,-0.02,0.2
0,800,0.44,1.88,0.25,-0.36,0.74
0,802,0.44,2.13,0.56,-0.52,1.04
0,805,0.44,2.13,0.56,-0.52,1.04
0,807,0.44,0.0,1.06,-0.52,0.51
0,809,0.44,0.0,1.06,-0.52,0.51
0,811,0.44,-2.19,1.19,-0.06,-0.56
0,813,0.44,-2.19,1.19,0.18,-0.96
0,816,0.44,-2.63,0.69,0.18,-0.96
0,818,0.44,-0.31,0.75,0.28,-0.75
0,820,0.44,-0.31,0.75,-0.04,-0.55
0,824,0.44,0.31,1.19,-0.04,-0.55
0,826,0.44,-0.63,1.56,-0.09,-1.23
0,828,0.44,-0.63,1.56,-0.45,-0.98
0,831,0.44,-1.12,1.12,-0.45,-0.98
0,833,0.44,0.12,0.25,-0.06,-0.61
0,836,0.37,0.12,0.25,-0.35,0.39
0,839,0.37,1.12,0.06,-0.35,0.39
0,841,0.37,1.06,0.44,-0.45,0.27
0,844,0.37,1.06,0.44,-0.5,0.28
0,846,0.37,0.0,0.56,-0.5,0.28
0,848,0.37,0.0,0.56,-0.44,-0.06
0,851,0.37,-0.63,-0.31,-0.44,-0.06
0,853,0.37,-0.12,-0.94,-0.16,0.17
0,855,0.37,-0.12,-0.94,-0.33,-0.07
0,858,0.37,0.0,-0.31,-0.33,-0.07
0,861,0.37,0.25,0.31,-0.4,-0.19
0,863,0.37,0.25,0.31,0.04,-0.65
0,865,0.37,0.0,-0.31,0.04,-0.65
0,867,0.37,0.69,-1.0,0.2,-0.76
0,870,0.37,0.69,-1.0,0.2,-0.76
0,873,0.37,1.06,-0.44,0.35,-0.78
0,875,0.37,1.81,-0.06,0.0,-0.37
0,878,0.37,1.81,-0.06,0.0,-0.37
0,880,0.37,1.75,0.37,-0.07,-0.11
0,882,0.37,1.75,0.37,-0.01,-0.13
0,885,0.37,0.88,-0.12,-0.01,-0.13
0,887,0.37,-1.06,0.0,0.01,0.15
0,889,0.37,-1.06,0.0,0.01,0.15
0,892,0.37,-1.75,0.81,-0.11,-0.43
0,894,0.37,-2.31,1.25,-0.53,0.0
0,897,0.37,-2.31,1.25,-0.53,0.0
0,900,0.37,-1.5,0.69,-0.46,-0.22
0,902,0.37,-0.94,0.25,-0.51,0.08
0,904,0.37,-0.94,0.25,-0.51,0.08
0,906,0.37,0.31,0.12,-0.18,0.0
0,909,0.37,0.31,0.12,-0.18,0.0
0,912,0.37,0.75,0.44,-0.3,0.2
0,914,0.37,0.12,0.75,-0.21,-0.04
0,917,0.37,0.12,0.75,-0.21,-0.04
0,919,0.37,-0.56,0.06,-0.36,-0.05
0,921,0.37,-0.81,-0.56,-0.11,-0.22
0,923,0.37,-0.81,-0.56,-0.11,-0.22
0,925,0.37,-0.75,-0.75,0.0,-0.81
0,928,0.37,-0.75,-0.75,0.0,-0.81
0,931,0.37,-0.81,-0.25,0.11,-0.78
0,933,0.37,-0.56,-0.12,-0.17,-0.88
0,936,0.37,-0.56,-0.12,-0.17,-0.88
0,939,0.37,-0.44,-0.63,-0.22,-0.96
0,941,0.37,-0.06,-1.06,-0.1,-0.56
0,943,0.37,-0.06,-1.06,-0.1,-0.56
0,946,0.37,0.37,-0.94,-0.38,-0.32
0,948,0.37,0.69,-0.25,-0.34,-0.12
0,951,0.37,0.69,-0.25,-0.34,-0.12
0,954,0.37,1.06,-0.06,-0.4,0.34
